0,domain,business_model,estimated_cost_bucket,difficulty,scalability,required_skills,target_customer,short_summary
"A platform for social media content curation, with a focus on the financial sector. The company has been pitching the idea of creating “content factories” which can create content and deliver it in real-time to markets.",,,,,,,,
A small business platform and management automation suite built on blockchain.,,,,,,,,
A startup that connects doctors with patients via text messaging It’s a telemedicine platform that provides health information and education,,,,,,,,
A startup that provides a platform to help businesses manage their social media accounts,,,,,,,,
"Idea: A platform for hosting online courses. The startup says it has a 45% course completion rate, with a 6% course drop rate.",,,,,,,,
A software platform that helps cities find their best locations for parking garages and lots for cars.,,,,,,,,
"A platform that helps blend, align, and manage employees across different companies.",,,,,,,,
A startup that’s built a platform to “help companies with small to medium sized projects manage their project budgets”.,,,,,,,,
"A startup that uses facial recognition to identify and tag art pieces in museums. The startup has a $3.5 million Series A to build out its platform, and plans to expand to other museums.",,,,,,,,
A platform that helps connect investors with projects they can invest in.,,,,,,,,
This personal finance app helps users track and manage their finances. It’s also a platform for sharing ideas and tracking financial goals with friends.,,,,,,,,
A platform for small businesses to sell their products online,,,,,,,,
A SaaS platform that wants to help U.S. businesses compete with Chinese suppliers.,,,,,,,,
"A platform that lets anyone easily create, sell, and buy stuff from Amazon, with no fees and no inventory.",,,,,,,,
Helping small businesses by providing a platform for them to grow and scale.,,,,,,,,
"A management platform for small companies that helps assign tasks to team members, manage plans and resources, and conduct audits.",,,,,,,,
"A software platform that helps small businesses, freelancers, and independent contractors obtain loans and invoice financing. They have a $50,000 seed round with a 4x growth rate since their launch in May 2019.",,,,,,,,
"An online platform to help people find and pay for parking in their area. It’s one of the first app-only parking companies in the space that’s grown to 1,500 employees after raising $200M from investors.",,,,,,,,
"This startup is building a platform with just under 1,000 clients that allows people to create their own version of the Ben & Jerry’s ice cream and frozen yogurt – with the added benefit of being vegan.",,,,,,,,
